Kicker Name,WORLD CUP DETAILS,Year,Location,GAME DETAILS,Attendance,Weather,League round,Time of day,KEEPER DETAILS,Keeper,Keeper height (m),PLAYER DETAILS,Club,Nationality,Captain,Number,Age,Role,Position,Dominant foot,Player height (m),Player weight (kg),PLAYER IN-GAME STATS,Minutes played,Goals scored,Yellow card (y/n),Team red card (y/n),SHOOTOUT FACTS,Kick #,Game On Line (y/n),Deficit/Lead (SO),Direction,Result,Keeper Play,Post (y/n),FOR LATER PROJECT,GOLDEN BALL?,Home/Away,Lead/Deficit,FIFA pk rating,PES pk rating,Games missed ,UCL experience
Giresse,,1982,Spain,,70000,99 f,Semi Finals,9:00 PM,,Schumacher,1.73,,Bordeaux,France,no,12,29,M,CAM,Right,1.63,60,,120,1,YES,no,,1,no,0-0,Bottom Left,Goal,Right,no,,,,,,,,
Kaltz,,1982,Spain,,70000,99 f,Semi Finals,9:00 PM,,Ettori,1.86,,Hamburg,Germany,no,20,29,D,RB,Right,1.84,78,,120,0,no,no,,2,no,0-1,Bottom Right,Goal,Left,no,,,,,,,,
Amoros,,1982,Spain,,70000,99 f,Semi Finals,9:00 PM,,Schumacher,1.73,,Monaco,France,no,2,20,D,RB,Right,1.72,71,,120,0,no,no,,3,no,1-1,Top Right,Goal,Left,no,,,,,,,,
Breitner,,1982,Spain,,70000,99 f,Semi Finals,9:00 PM,,Ettori,1.86,,Munich,Germany,no,3,30,D,LB,Right,1.76,73,,120,0,no,no,,4,no,1-2,Top Right,Goal,Left,no,,,,,,,,
Rocheteau,,1982,Spain,,70000,99 f,Semi Finals,9:00 PM,,Schumacher,1.73,,PSG,France,no,18,27,F,LW,Right,1.77,72,,120,0,no,no,,5,no,2-2,Bottom Right,Goal,Left,no,,,,,,,,
Stielike,,1982,Spain,,70000,99 f,Semi Finals,9:00 PM,,Ettori,1.86,,Real Madrid,Germany,no,15,27,M,CM,Right,1.76,72,,120,0,no,no,,6,no,2-3,Top Left,Saved,Left,no,,,,,,,,
Six,,1982,Spain,,70000,99 f,Semi Finals,9:00 PM,,Schumacher,1.73,,Stuttgart,France,no,19,27,F,LW,Right,1.79,75,,120,0,no,no,,7,no,3-2,Bottom Left,Saved,Left,no,,,,,,,,
Littbarski,,1982,Spain,,70000,99 f,Semi Finals,9:00 PM,,Ettori,1.86,,FC Koln,Germany,no,7,22,M,CAM,Right,1.68,64,,120,1,no,no,,8,no,2-3,Top Right,Goal,Right,no,,,,,,,,
Platini,,1982,Spain,,70000,99 f,Semi Finals,9:00 PM,,Schumacher,1.74,,Saint-Etienne,France,YES,10,26,M,CAM,Right,1.79,73,,120,1,no,no,,9,no,3-3,Bottom Right,Goal,Left,no,,,,,,,,
Rummenigge,,1982,Spain,,70000,99 f,Semi Finals,9:00 PM,,Ettori,1.86,,Munich,Germany,YES,11,26,F,ST,Right,1.82,79,,23,1,no,no,,10,no,3-4,Bottom Right,Goal,Middle,no,,Bronze,,,,,,
Bossis,,1982,Spain,,70000,99 f,Semi Finals,9:00 PM,,Schumacher,1.73,,Nantes,France,no,4,26,D,LB,Right,1.86,79,,120,0,no,no,,11,no,4-4,Bottom Left,Saved,Left,no,,,,,,,,
Hurbesch,,1982,Spain,,70000,99 f,Semi Finals,9:00 PM,,Ettori,1.86,,Hamburg,Germany,no,9,31,F,CF,Right,1.88,88,,47,0,no,no,,12,YES,4-4,Bottom Right,Goal,Left,no,,,,,,,,
Socrates,,1986,Mexico,,65000,N/A,Quarter Finals,12:00 PM,,Joel Bats,1.8,,Flamengo,Brazil,no,18,32,M,CAM,Right,1.92,N/A,,120,0,no,no,,1,no,0-0,Top Left,Saved,Left,no,,,,,,,,
Stopyra,,1986,Mexico,,65000,N/A,Quarter Finals,12:00 PM,,Carlos,1.88,,Toulouse,France,no,19,25,F,ST,Right,1.8,76,,120,0,no,no,,2,no,0-0,Middle,Goal,Right,no,,,,,,,,
Alemao,,1986,Mexico,,65000,N/A,Quarter Finals,12:00 PM,,Joel Bats,1.8,,Botafogo,Brazil,no,15,24,M,CDM,Right,1.8,71,,120,0,no,no,,3,no,0-1,Bottom Right,Goal,Right,no,,,,,,,,
Amoros,,1986,Mexico,,65000,N/A,Quarter Finals,12:00 PM,,Carlos,1.88,,Monaco,France,no,2,24,D,RB,RIght,1.72,71,,120,0,no,no,,4,no,1-1,Top Right,Goal,Right,no,,,,,,,,
Zico,,1986,Mexico,,65000,N/A,Quarter Finals,12:00 PM,,Joel Bats,1.8,,Flamengo,Brazil,no,10,33,F,CAM,Right,1.73,71,,49,0,no,no,,5,no,1-2,Bottom Right,Goal,Left,no,,,,,,,,
Bellone,,1986,Mexico,,65000,N/A,Quarter Finals,12:00 PM,,Carlos,1.88,,Monaco,France,no,16,16,F,LW,Left,1.74,73,,21,0,no,no,,6,no,2-2,Bottom Right,Goal,Right,YES,,,,,,,,
Branco,,1986,Mexico,,65000,N/A,Quarter Finals,12:00 PM,,Joel Bats,1.8,,Fluminense,Brazil,no,17,22,D,LB,Left,1.79,77,,120,0,no,no,,7,no,2-3,Top Left,Goal,Right,no,,,,,,,,
Platini,,1986,Mexico,,65000,N/A,Quarter Finals,12:00 PM,,Carlos,1.88,,Juventus,France,YES,10,30,M,CAM,RIght,1.79,73,,120,1,no,no,,8,no,3-3,Top Left,Miss,Right,no,,,,,,,,
Julio Cesar,,1986,Mexico,,65000,N/A,Quarter Finals,12:00 PM,,Joel Bats,1.8,,Guarani,Brazil,no,14,23,D,CB,Right,1.9,82,,120,0,no,no,,9,no,3-3,Top Left,Saved,Left,no,,,,,,,,
Fernandez,,1986,Mexico,,65000,N/A,Quarter Finals,12:00 PM,,Carlos,1.88,,PSG,France,no,9,26,M,CDM,Right,1.79,77,,120,0,no,no,,10,YES,3-3,Bottom Left,Goal,Right,no,,,,,,,,
Allofs,,1986,Mexico,,41700,N/A,Quarter Finals,4:00 PM,,Larios,1.78,,FC Koln,Germany,no,19,29,F,ST,Left,1.75,73,,120,0,YES,YES,,1,no,0-0,Top Left,Goal,Right,no,,,,,,,,
Negrete,,1986,Mexico,,41700,N/A,Quarter Finals,4:00 PM,,Schumacher,1.73,,UNAM Pumas,Mexico,no,22,27,F,N/A,Left,N/A,N/A,,120,0,no,YES,,2,no,0-1,Top Right,Goal,Left,no,,,,,,,,
